workload,impl,threads,size,run_i,elapsed_ms
equation,OMP,1,80000000,13,348
equation,OMP,2,80000000,1,369
equation,OMP,2,80000000,2,170
equation,OMP,2,80000000,3,175
equation,OMP,2,80000000,4,162
equation,OMP,2,80000000,5,166
equation,OMP,2,80000000,6,167
equation,OMP,2,80000000,7,181
equation,OMP,2,80000000,8,161
equation,OMP,2,80000000,9,153
equation,OMP,2,80000000,10,160
equation,OMP,2,80000000,11,159
equation,OMP,2,80000000,12,167
equation,OMP,2,80000000,13,146
equation,OMP,4,80000000,1,189
equation,OMP,4,80000000,2,103
equation,OMP,4,80000000,3,103
equation,OMP,4,80000000,4,113
equation,OMP,4,80000000,5,85
equation,OMP,4,80000000,6,121
equation,OMP,4,80000000,7,119
equation,OMP,4,80000000,8,79
equation,OMP,4,80000000,9,89
equation,OMP,4,80000000,10,130
equation,OMP,4,80000000,11,80
equation,OMP,4,80000000,12,95
equation,OMP,4,80000000,13,98
equation,OMP,8,80000000,1,141
equation,OMP,8,80000000,2,70
equation,OMP,8,80000000,3,73
equation,OMP,8,80000000,4,77
equation,OMP,8,80000000,5,70
equation,OMP,8,80000000,6,68
equation,OMP,8,80000000,7,78
equation,OMP,8,80000000,8,87
equation,OMP,8,80000000,9,70
equation,OMP,8,80000000,10,69
equation,OMP,8,80000000,11,85
equation,OMP,8,80000000,12,68
equation,OMP,8,80000000,13,91
equation,OMP,16,80000000,1,116
equation,OMP,16,80000000,2,69
equation,OMP,16,80000000,3,57
equation,OMP,16,80000000,4,61
equation,OMP,16,80000000,5,59
equation,OMP,16,80000000,6,58
equation,OMP,16,80000000,7,66
equation,OMP,16,80000000,8,56
equation,OMP,16,80000000,9,63
equation,OMP,16,80000000,10,56
equation,OMP,16,80000000,11,75
equation,OMP,16,80000000,12,67
equation,OMP,16,80000000,13,66
equation,threads,1,80000000,1,785
equation,threads,1,80000000,2,335
equation,threads,1,80000000,3,316
equation,threads,1,80000000,4,324
equation,threads,1,80000000,5,323
equation,threads,1,80000000,6,287
equation,threads,1,80000000,7,301
equation,threads,1,80000000,8,307
equation,threads,1,80000000,9,319
equation,threads,1,80000000,10,317
equation,threads,1,80000000,11,317
equation,threads,1,80000000,12,300
equation,threads,1,80000000,13,297
equation,threads,2,80000000,1,373
equation,threads,2,80000000,2,189
equation,threads,2,80000000,3,163
equation,threads,2,80000000,4,176
equation,threads,2,80000000,5,164
equation,threads,2,80000000,6,182
equation,threads,2,80000000,7,163
equation,threads,2,80000000,8,156
equation,threads,2,80000000,9,194
equation,threads,2,80000000,10,144
equation,threads,2,80000000,11,144
equation,threads,2,80000000,12,157
equation,threads,2,80000000,13,160
equation,threads,4,80000000,1,187
equation,threads,4,80000000,2,105
equation,threads,4,80000000,3,104
equation,threads,4,80000000,4,87
equation,threads,4,80000000,5,133
equation,threads,4,80000000,6,90
equation,threads,4,80000000,7,97
equation,threads,4,80000000,8,118
equation,threads,4,80000000,9,84
equation,threads,4,80000000,10,98
equation,threads,4,80000000,11,103
equation,threads,4,80000000,12,93
equation,threads,4,80000000,13,97
equation,threads,8,80000000,1,163
equation,threads,8,80000000,2,89
equation,threads,8,80000000,3,73
equation,threads,8,80000000,4,81
equation,threads,8,80000000,5,82
equation,threads,8,80000000,6,77
equation,threads,8,80000000,7,66
equation,threads,8,80000000,8,73
equation,threads,8,80000000,9,69
